location,crime_rate,flood_risk,weather_severity_index
"Berlin, Germany",0.592,0.716,0.324
"Toronto, Canada",0.32,0.847,0.263
"Toronto, Canada",0.298,0.165,0.238
"Toronto, Canada",0.628,0.476,0.597
"New York, USA",0.183,0.497,0.276
"New York, USA",0.281,0.107,0.97
Singapore,0.107,0.783,0.265
"Toronto, Canada",0.509,0.186,0.25
"New York, USA",0.729,0.77,0.616
"Berlin, Germany",0.509,0.117,0.263
"London, UK",0.328,0.886,0.699
"Lagos, Nigeria",0.77,0.52,0.873
"Toronto, Canada",0.488,0.339,0.492
"Berlin, Germany",0.652,0.585,0.415
"New York, USA",0.889,0.327,0.721
"Lagos, Nigeria",0.751,0.186,0.825
Singapore,0.78,0.302,0.373
"Toronto, Canada",0.197,0.773,0.83
"New York, USA",0.533,0.298,0.79
Singapore,0.898,0.429,0.535
"New York, USA",0.359,0.54,0.512
"Lagos, Nigeria",0.133,0.796,0.194
"New York, USA",0.127,0.109,0.179
"Lagos, Nigeria",0.883,0.806,0.773
"Berlin, Germany",0.447,0.693,0.627
Singapore,0.328,0.409,0.54
Singapore,0.511,0.894,0.141
"Toronto, Canada",0.588,0.147,0.15
"New York, USA",0.805,0.69,0.929
"London, UK",0.454,0.676,0.695
"Lagos, Nigeria",0.782,0.857,0.447
"Berlin, Germany",0.308,0.76,0.73
"Dubai, UAE",0.539,0.56,0.332
"Johannesburg, South Africa",0.725,0.286,0.468
"Johannesburg, South Africa",0.454,0.508,0.516
"London, UK",0.322,0.182,0.128
"Johannesburg, South Africa",0.747,0.491,0.993
"Toronto, Canada",0.746,0.255,0.443
"Berlin, Germany",0.326,0.848,0.97
"Lagos, Nigeria",0.584,0.425,0.683
"Berlin, Germany",0.297,0.22,0.936
Singapore,0.817,0.119,0.149
"Dubai, UAE",0.16,0.364,0.965
Singapore,0.406,0.146,0.466
"Berlin, Germany",0.62,0.467,0.223
"Berlin, Germany",0.788,0.138,0.704
"Toronto, Canada",0.736,0.767,0.786
"London, UK",0.647,0.473,0.685
"Berlin, Germany",0.841,0.734,0.586
Singapore,0.119,0.391,0.835
"New York, USA",0.884,0.714,0.717
"Berlin, Germany",0.377,0.424,0.657
"Berlin, Germany",0.699,0.637,0.385
"Toronto, Canada",0.323,0.671,0.89
"Toronto, Canada",0.432,0.582,0.723
Singapore,0.801,0.144,0.91
"Toronto, Canada",0.459,0.394,0.646
Singapore,0.808,0.721,0.82
"Johannesburg, South Africa",0.539,0.84,0.896
"Johannesburg, South Africa",0.311,0.628,0.587
"Dubai, UAE",0.489,0.874,0.744
Singapore,0.171,0.319,0.619
"Toronto, Canada",0.483,0.209,0.749
"Berlin, Germany",0.73,0.362,0.571
"Berlin, Germany",0.155,0.642,0.82
"Johannesburg, South Africa",0.287,0.412,0.827
"Lagos, Nigeria",0.438,0.627,0.142
"Toronto, Canada",0.706,0.662,0.283
"Lagos, Nigeria",0.701,0.591,0.274
"Johannesburg, South Africa",0.81,0.723,0.39
"London, UK",0.216,0.287,0.529
Singapore,0.225,0.188,0.762
"Toronto, Canada",0.635,0.139,0.37
"Dubai, UAE",0.244,0.881,0.686
"Dubai, UAE",0.431,0.674,0.875
Singapore,0.532,0.291,0.503
"Johannesburg, South Africa",0.306,0.482,0.692
"London, UK",0.653,0.15,0.863
"Dubai, UAE",0.786,0.632,0.752
"New York, USA",0.11,0.874,0.193
"Berlin, Germany",0.331,0.665,0.237
"Berlin, Germany",0.67,0.598,0.174
"Lagos, Nigeria",0.32,0.838,0.354
"Berlin, Germany",0.518,0.51,0.104
"Johannesburg, South Africa",0.705,0.696,0.649
"London, UK",0.375,0.846,0.124
"Berlin, Germany",0.73,0.618,0.504
"Johannesburg, South Africa",0.753,0.521,0.544
"Toronto, Canada",0.893,0.564,0.681
"New York, USA",0.446,0.716,0.315
"Lagos, Nigeria",0.481,0.142,0.881
"Johannesburg, South Africa",0.726,0.362,0.554
Singapore,0.794,0.141,0.721
"Lagos, Nigeria",0.504,0.729,0.412
"Lagos, Nigeria",0.117,0.832,0.34
"Toronto, Canada",0.466,0.42,0.626
"Berlin, Germany",0.28,0.302,0.906
"Toronto, Canada",0.177,0.132,0.746
"London, UK",0.371,0.105,0.729
"Dubai, UAE",0.414,0.536,0.545
"Berlin, Germany",0.885,0.367,0.106
"Toronto, Canada",0.464,0.871,0.891
"Johannesburg, South Africa",0.874,0.754,0.317
"London, UK",0.686,0.461,0.527
"London, UK",0.302,0.259,0.274
"Toronto, Canada",0.662,0.406,0.833
"Toronto, Canada",0.422,0.157,0.13
"New York, USA",0.563,0.598,0.691
"Toronto, Canada",0.515,0.792,0.144
"Lagos, Nigeria",0.845,0.448,0.926
"Berlin, Germany",0.204,0.484,0.149
Singapore,0.455,0.85,0.901
"London, UK",0.165,0.348,0.327
Singapore,0.304,0.181,0.688
"Lagos, Nigeria",0.161,0.155,0.673
"Dubai, UAE",0.851,0.715,0.867
"Lagos, Nigeria",0.352,0.275,0.463
"Johannesburg, South Africa",0.725,0.899,0.576
"London, UK",0.699,0.871,0.447
"Dubai, UAE",0.212,0.783,0.69
"Johannesburg, South Africa",0.213,0.503,0.38
"Berlin, Germany",0.402,0.506,0.676
"New York, USA",0.555,0.846,0.778
"New York, USA",0.441,0.338,0.217
"Dubai, UAE",0.714,0.489,0.442
"Lagos, Nigeria",0.529,0.422,0.132
"Johannesburg, South Africa",0.805,0.387,0.182
"Lagos, Nigeria",0.574,0.813,0.143
"Toronto, Canada",0.574,0.68,0.735
"New York, USA",0.628,0.856,0.982
"New York, USA",0.582,0.158,0.65
"Berlin, Germany",0.59,0.762,0.405
"Toronto, Canada",0.46,0.362,0.795
"London, UK",0.172,0.573,0.557
"Johannesburg, South Africa",0.395,0.663,0.225
"London, UK",0.715,0.213,0.907
"Berlin, Germany",0.13,0.699,0.213
"London, UK",0.653,0.373,0.979
"New York, USA",0.885,0.323,0.426
"Lagos, Nigeria",0.449,0.477,0.754
"Toronto, Canada",0.27,0.726,0.963
"London, UK",0.118,0.427,0.634
"London, UK",0.784,0.536,0.978
"London, UK",0.218,0.291,0.261
"London, UK",0.135,0.354,0.151
"Lagos, Nigeria",0.488,0.853,0.68
"Lagos, Nigeria",0.405,0.835,0.194
"Dubai, UAE",0.868,0.81,0.555
Singapore,0.47,0.411,0.799
"Berlin, Germany",0.768,0.123,0.843
Singapore,0.846,0.835,0.607
"Johannesburg, South Africa",0.247,0.421,0.519
"Johannesburg, South Africa",0.377,0.743,0.183
"New York, USA",0.839,0.513,0.712
"London, UK",0.545,0.815,0.771
"Berlin, Germany",0.358,0.194,0.451
"New York, USA",0.516,0.764,0.584
"Lagos, Nigeria",0.685,0.794,0.328
"London, UK",0.595,0.332,0.449
Singapore,0.847,0.6,0.635
"Lagos, Nigeria",0.87,0.144,0.783
"Dubai, UAE",0.669,0.351,0.154
"London, UK",0.631,0.398,0.544
"Lagos, Nigeria",0.111,0.176,0.164
Singapore,0.727,0.447,0.911
"Johannesburg, South Africa",0.5,0.618,0.677
"Berlin, Germany",0.8,0.619,0.532
"Berlin, Germany",0.846,0.476,0.138
Singapore,0.395,0.199,0.575
"Lagos, Nigeria",0.824,0.163,0.666
"Lagos, Nigeria",0.628,0.758,0.479
"Johannesburg, South Africa",0.442,0.548,0.361
Singapore,0.141,0.7,0.962
"Toronto, Canada",0.694,0.126,0.286
Singapore,0.815,0.453,0.973
"London, UK",0.566,0.823,0.111
"Toronto, Canada",0.422,0.666,0.568
Singapore,0.461,0.713,0.414
"Lagos, Nigeria",0.666,0.477,0.35
"Berlin, Germany",0.259,0.696,0.417
"London, UK",0.264,0.638,0.654
"Berlin, Germany",0.378,0.207,0.47
"Lagos, Nigeria",0.124,0.173,0.261
Singapore,0.635,0.241,0.663
Singapore,0.459,0.164,0.954
"Toronto, Canada",0.815,0.562,0.981
Singapore,0.618,0.872,0.839
"Johannesburg, South Africa",0.664,0.719,0.262
Singapore,0.637,0.696,0.281
"London, UK",0.434,0.764,0.11
"Dubai, UAE",0.846,0.821,0.821
"Toronto, Canada",0.831,0.343,0.253
"London, UK",0.486,0.172,0.957
"Dubai, UAE",0.723,0.701,0.506
"Dubai, UAE",0.888,0.441,0.141
"Berlin, Germany",0.365,0.856,0.679
"New York, USA",0.6,0.847,0.199
"London, UK",0.556,0.879,0.691
Singapore,0.533,0.72,0.714
"Lagos, Nigeria",0.846,0.59,0.145
Singapore,0.201,0.714,0.89
"London, UK",0.513,0.32,0.448
"Dubai, UAE",0.121,0.102,0.39
"Lagos, Nigeria",0.346,0.469,0.69
"New York, USA",0.64,0.612,0.942
"New York, USA",0.724,0.771,0.973
"Berlin, Germany",0.783,0.141,0.848
"Berlin, Germany",0.161,0.137,0.792
"Johannesburg, South Africa",0.248,0.849,0.59
"Johannesburg, South Africa",0.421,0.261,0.586
Singapore,0.405,0.651,0.65
"Johannesburg, South Africa",0.303,0.218,0.985
"Johannesburg, South Africa",0.849,0.821,0.13
"New York, USA",0.527,0.698,0.524
"Johannesburg, South Africa",0.626,0.144,0.29
"London, UK",0.7,0.318,0.646
"Dubai, UAE",0.535,0.876,0.626
"London, UK",0.767,0.777,0.942
"Berlin, Germany",0.888,0.138,0.413
"London, UK",0.414,0.346,0.8
"London, UK",0.615,0.363,0.752
"London, UK",0.354,0.484,0.496
"London, UK",0.155,0.321,0.574
"Lagos, Nigeria",0.122,0.764,0.515
"Berlin, Germany",0.286,0.477,0.942
"New York, USA",0.23,0.11,0.201
"Johannesburg, South Africa",0.678,0.412,0.633
"New York, USA",0.471,0.574,0.445
"Lagos, Nigeria",0.532,0.627,0.186
"Berlin, Germany",0.165,0.177,0.32
Singapore,0.116,0.498,0.652
"Dubai, UAE",0.448,0.444,0.774
"Lagos, Nigeria",0.305,0.241,0.56
"Berlin, Germany",0.598,0.244,0.557
"Lagos, Nigeria",0.509,0.878,0.68
Singapore,0.763,0.431,0.234
"London, UK",0.771,0.612,0.261
"Lagos, Nigeria",0.53,0.265,0.963
"Lagos, Nigeria",0.825,0.865,0.966
"Johannesburg, South Africa",0.846,0.857,0.798
"Toronto, Canada",0.295,0.735,0.811
Singapore,0.882,0.449,0.184
Singapore,0.889,0.432,0.434
"Berlin, Germany",0.152,0.812,0.509
"London, UK",0.102,0.795,0.229
"Lagos, Nigeria",0.147,0.84,0.122
"London, UK",0.38,0.319,0.299
"Johannesburg, South Africa",0.746,0.63,0.97
"Dubai, UAE",0.504,0.637,0.934
"Berlin, Germany",0.337,0.388,0.31
Singapore,0.144,0.176,0.946
"Johannesburg, South Africa",0.417,0.184,0.406
Singapore,0.129,0.774,0.781
"New York, USA",0.238,0.373,0.44
"Toronto, Canada",0.803,0.812,0.143
"Johannesburg, South Africa",0.709,0.329,0.969
"Toronto, Canada",0.897,0.262,0.344
"Berlin, Germany",0.816,0.414,0.148
"Toronto, Canada",0.785,0.679,0.994
"New York, USA",0.24,0.596,0.676
"London, UK",0.619,0.22,0.501
Singapore,0.58,0.885,0.842
"Lagos, Nigeria",0.834,0.883,0.748
"Johannesburg, South Africa",0.725,0.318,0.485
Singapore,0.72,0.524,0.233
"Johannesburg, South Africa",0.36,0.282,0.697
"Berlin, Germany",0.2,0.894,0.899
"Dubai, UAE",0.395,0.379,0.564
"Dubai, UAE",0.267,0.822,0.603
"Berlin, Germany",0.682,0.443,0.861
"Toronto, Canada",0.467,0.673,0.951
"Lagos, Nigeria",0.286,0.824,0.588
Singapore,0.626,0.597,0.141
"Toronto, Canada",0.155,0.285,0.237
"Toronto, Canada",0.834,0.738,0.955
"Johannesburg, South Africa",0.563,0.827,0.85
"London, UK",0.469,0.171,0.671
"London, UK",0.299,0.399,0.522
Singapore,0.538,0.894,0.47
"Toronto, Canada",0.33,0.621,0.14
"New York, USA",0.416,0.239,0.882
"Johannesburg, South Africa",0.811,0.774,0.436
"Berlin, Germany",0.255,0.477,0.567
"Johannesburg, South Africa",0.378,0.789,0.584
"Johannesburg, South Africa",0.625,0.711,0.855
"Dubai, UAE",0.68,0.678,0.277
"New York, USA",0.192,0.316,0.528
"Johannesburg, South Africa",0.849,0.547,0.96
"Johannesburg, South Africa",0.122,0.784,0.739
"Berlin, Germany",0.154,0.783,0.459
"Lagos, Nigeria",0.71,0.236,0.669
"Lagos, Nigeria",0.717,0.421,0.629
"New York, USA",0.633,0.468,0.591
"Toronto, Canada",0.517,0.485,0.581
"Johannesburg, South Africa",0.331,0.466,0.746
"Dubai, UAE",0.772,0.177,0.894
"Toronto, Canada",0.659,0.823,0.47
Singapore,0.874,0.725,0.978
Singapore,0.463,0.445,0.463
"Johannesburg, South Africa",0.476,0.861,0.709
"Lagos, Nigeria",0.733,0.533,0.343
"Toronto, Canada",0.894,0.146,0.773
"London, UK",0.817,0.455,0.449
"Johannesburg, South Africa",0.338,0.265,0.444
"Lagos, Nigeria",0.863,0.899,0.281
Singapore,0.258,0.199,0.163
"Berlin, Germany",0.437,0.345,0.414
"Dubai, UAE",0.81,0.643,0.64
"Berlin, Germany",0.351,0.279,0.141
"Johannesburg, South Africa",0.382,0.19,0.272
"Toronto, Canada",0.896,0.409,0.321
"Berlin, Germany",0.461,0.816,0.269
"Berlin, Germany",0.858,0.562,0.193
"New York, USA",0.319,0.697,0.264
"New York, USA",0.501,0.328,0.942
"Berlin, Germany",0.406,0.814,0.805
"Lagos, Nigeria",0.551,0.549,0.929
"Dubai, UAE",0.819,0.383,0.901
"Berlin, Germany",0.893,0.624,0.46
"Dubai, UAE",0.501,0.426,0.432
"London, UK",0.24,0.322,0.8
"Johannesburg, South Africa",0.14,0.713,0.911
"Lagos, Nigeria",0.228,0.186,0.776
"Dubai, UAE",0.697,0.631,0.623
"London, UK",0.575,0.52,0.601
"Dubai, UAE",0.699,0.511,0.517
"London, UK",0.863,0.374,0.509
Singapore,0.665,0.32,0.151
Singapore,0.722,0.652,0.294
"Toronto, Canada",0.442,0.749,0.229
"New York, USA",0.509,0.409,0.522
"Toronto, Canada",0.759,0.215,0.36
"Dubai, UAE",0.611,0.117,0.44
"Johannesburg, South Africa",0.528,0.564,0.974
"London, UK",0.277,0.3,0.788
"Toronto, Canada",0.582,0.43,0.226
"Toronto, Canada",0.333,0.546,0.828
"Johannesburg, South Africa",0.572,0.679,0.498
"Lagos, Nigeria",0.471,0.439,0.869
"Toronto, Canada",0.181,0.662,0.784
"Lagos, Nigeria",0.786,0.831,0.567
Singapore,0.565,0.322,0.748
"Toronto, Canada",0.822,0.658,0.943
"Dubai, UAE",0.842,0.343,0.585
Singapore,0.514,0.154,0.234
"Toronto, Canada",0.642,0.166,0.611
"Johannesburg, South Africa",0.816,0.662,0.142
"London, UK",0.644,0.219,0.508
Singapore,0.295,0.897,0.301
"London, UK",0.307,0.535,0.681
"Berlin, Germany",0.435,0.35,0.459
Singapore,0.13,0.584,0.563
"Berlin, Germany",0.397,0.172,0.903
"Johannesburg, South Africa",0.215,0.142,0.513
"Lagos, Nigeria",0.762,0.53,0.998
Singapore,0.726,0.243,0.223
"London, UK",0.24,0.158,0.872
"Berlin, Germany",0.328,0.602,0.427
"Dubai, UAE",0.556,0.459,0.816
"Toronto, Canada",0.3,0.498,0.549
"London, UK",0.144,0.711,0.571
"Dubai, UAE",0.712,0.65,0.58
"Dubai, UAE",0.173,0.744,0.317
Singapore,0.642,0.171,0.148
"Toronto, Canada",0.22,0.166,0.688
"Toronto, Canada",0.106,0.562,0.123
"Dubai, UAE",0.55,0.838,0.754
"Lagos, Nigeria",0.328,0.697,0.391
Singapore,0.204,0.661,0.456
"London, UK",0.648,0.383,0.778
"Toronto, Canada",0.615,0.555,0.236
"Lagos, Nigeria",0.429,0.657,0.685
"New York, USA",0.171,0.504,0.615
"New York, USA",0.473,0.285,0.475
"Toronto, Canada",0.183,0.643,0.663
"Johannesburg, South Africa",0.895,0.512,0.424
"Toronto, Canada",0.288,0.3,0.338
"New York, USA",0.102,0.522,0.18
"Berlin, Germany",0.276,0.374,0.632
"Lagos, Nigeria",0.596,0.153,0.964
"Toronto, Canada",0.881,0.478,0.825
Singapore,0.52,0.875,0.185
"New York, USA",0.456,0.299,0.298
"New York, USA",0.894,0.453,0.684
"New York, USA",0.232,0.757,0.102
"New York, USA",0.258,0.86,0.607
Singapore,0.405,0.145,0.977
"New York, USA",0.698,0.7,0.417
"New York, USA",0.342,0.358,0.904
"Toronto, Canada",0.476,0.186,0.197
"Dubai, UAE",0.851,0.705,0.142
"Dubai, UAE",0.798,0.477,0.413
"Lagos, Nigeria",0.858,0.266,0.621
"New York, USA",0.233,0.674,0.851
"New York, USA",0.486,0.277,0.267
"Dubai, UAE",0.67,0.603,0.335
"New York, USA",0.686,0.367,0.531
"Johannesburg, South Africa",0.54,0.282,0.411
"New York, USA",0.757,0.132,0.104
"New York, USA",0.134,0.225,0.398
"London, UK",0.258,0.848,0.335
"London, UK",0.362,0.461,0.555
"New York, USA",0.683,0.776,0.204
"New York, USA",0.821,0.708,0.717
"Berlin, Germany",0.523,0.654,0.365
"Berlin, Germany",0.667,0.69,0.307
"Lagos, Nigeria",0.576,0.234,0.374
"London, UK",0.84,0.297,0.513
"Toronto, Canada",0.82,0.723,0.899
"Lagos, Nigeria",0.746,0.634,0.719
Singapore,0.324,0.749,0.26
Singapore,0.398,0.649,0.705
"Lagos, Nigeria",0.433,0.728,0.238
"New York, USA",0.103,0.566,0.387
"New York, USA",0.285,0.754,0.517
"Johannesburg, South Africa",0.671,0.359,0.673
"Toronto, Canada",0.536,0.154,0.523
"Berlin, Germany",0.866,0.261,0.625
"New York, USA",0.123,0.221,0.714
"London, UK",0.403,0.478,0.966
"Toronto, Canada",0.666,0.824,0.915
"Dubai, UAE",0.207,0.349,0.556
"Toronto, Canada",0.5,0.514,0.769
"New York, USA",0.113,0.752,0.495
"Toronto, Canada",0.244,0.797,0.969
"Berlin, Germany",0.851,0.323,0.17
"New York, USA",0.579,0.519,0.285
"Berlin, Germany",0.707,0.305,0.333
"Berlin, Germany",0.182,0.436,0.354
"Dubai, UAE",0.288,0.414,0.347
"London, UK",0.254,0.151,0.644
"New York, USA",0.32,0.122,0.904
"London, UK",0.307,0.594,0.161
"London, UK",0.551,0.237,0.849
"Toronto, Canada",0.665,0.219,0.37
"Lagos, Nigeria",0.539,0.387,0.63
"New York, USA",0.339,0.285,0.693
"Berlin, Germany",0.656,0.696,0.606
"Johannesburg, South Africa",0.542,0.619,0.185
"Dubai, UAE",0.611,0.87,0.536
"Toronto, Canada",0.269,0.422,0.157
"London, UK",0.868,0.121,0.102
"Johannesburg, South Africa",0.362,0.777,0.282
"Dubai, UAE",0.396,0.198,0.368
"London, UK",0.532,0.315,0.718
"Johannesburg, South Africa",0.14,0.604,0.446
"New York, USA",0.253,0.469,0.54
"Toronto, Canada",0.75,0.654,0.639
"Dubai, UAE",0.735,0.255,0.131
"Dubai, UAE",0.213,0.568,0.413
"Berlin, Germany",0.572,0.463,0.484
"London, UK",0.153,0.57,0.336
"Toronto, Canada",0.16,0.806,0.438
Singapore,0.74,0.527,0.544
"Berlin, Germany",0.476,0.693,0.63
"Toronto, Canada",0.841,0.695,0.361
"London, UK",0.482,0.63,0.728
"London, UK",0.746,0.487,0.874
"Berlin, Germany",0.611,0.103,0.22
"Toronto, Canada",0.444,0.197,0.361
"London, UK",0.544,0.534,0.412
"Johannesburg, South Africa",0.847,0.135,0.195
"Johannesburg, South Africa",0.161,0.136,0.65
Singapore,0.524,0.201,0.29
"Toronto, Canada",0.141,0.287,0.916
Singapore,0.544,0.9,0.224
"New York, USA",0.586,0.196,0.754
Singapore,0.746,0.317,0.692
"Johannesburg, South Africa",0.739,0.646,0.522
"Berlin, Germany",0.108,0.641,0.565
"Lagos, Nigeria",0.157,0.8,0.244
"Berlin, Germany",0.648,0.589,0.126
"London, UK",0.246,0.313,0.949
"Toronto, Canada",0.523,0.291,0.132
"Dubai, UAE",0.285,0.764,0.618
"Berlin, Germany",0.768,0.178,0.832
"Lagos, Nigeria",0.645,0.485,0.105
"New York, USA",0.448,0.486,0.444
"London, UK",0.28,0.691,0.374
"Toronto, Canada",0.627,0.896,0.288
"New York, USA",0.381,0.497,0.249
"London, UK",0.571,0.72,0.439
"Berlin, Germany",0.634,0.781,0.23
"Berlin, Germany",0.21,0.127,0.276
"Johannesburg, South Africa",0.139,0.609,0.592
"Lagos, Nigeria",0.495,0.807,0.316
"Dubai, UAE",0.227,0.676,0.169
"New York, USA",0.172,0.719,0.878
"Johannesburg, South Africa",0.171,0.749,0.49
"Berlin, Germany",0.662,0.116,0.847
"Lagos, Nigeria",0.824,0.843,0.147
"Toronto, Canada",0.845,0.825,0.673
"Toronto, Canada",0.849,0.581,0.837
"New York, USA",0.637,0.379,0.727
"Toronto, Canada",0.841,0.395,0.859
"Berlin, Germany",0.205,0.528,0.201
"Toronto, Canada",0.581,0.333,0.254
"Berlin, Germany",0.708,0.553,0.243
"Johannesburg, South Africa",0.854,0.594,0.671
"Lagos, Nigeria",0.363,0.683,0.998
Singapore,0.568,0.153,0.474
Singapore,0.423,0.153,0.922
"Berlin, Germany",0.531,0.838,0.903
"Berlin, Germany",0.503,0.696,0.831
"New York, USA",0.78,0.374,0.532
Singapore,0.759,0.12,0.386
"Toronto, Canada",0.416,0.587,0.15
"Berlin, Germany",0.325,0.299,0.531
"New York, USA",0.781,0.146,0.886
"New York, USA",0.864,0.704,0.533
"Johannesburg, South Africa",0.115,0.881,0.101
"New York, USA",0.501,0.698,0.816
"London, UK",0.717,0.19,0.216
"Johannesburg, South Africa",0.889,0.394,0.248
Singapore,0.524,0.299,0.31
"Johannesburg, South Africa",0.675,0.399,0.275
"New York, USA",0.847,0.546,0.745
"New York, USA",0.4,0.608,0.947
Singapore,0.808,0.347,0.205
"Berlin, Germany",0.313,0.639,0.451
"New York, USA",0.68,0.647,0.641
"New York, USA",0.865,0.894,0.525
"London, UK",0.619,0.485,0.414
"London, UK",0.401,0.363,0.301
Singapore,0.162,0.786,0.598
Singapore,0.261,0.235,0.557
"Johannesburg, South Africa",0.683,0.457,0.992
"New York, USA",0.892,0.601,0.517
"Johannesburg, South Africa",0.78,0.214,0.896
"New York, USA",0.733,0.144,0.95
"Johannesburg, South Africa",0.115,0.418,0.396
"Berlin, Germany",0.687,0.38,0.369
"Johannesburg, South Africa",0.762,0.696,0.948
"Berlin, Germany",0.36,0.527,0.62
"London, UK",0.9,0.118,0.273
"Berlin, Germany",0.129,0.835,0.33
Singapore,0.413,0.789,0.118
Singapore,0.27,0.16,0.39
"Johannesburg, South Africa",0.878,0.304,0.659
"Toronto, Canada",0.638,0.599,0.381
"Dubai, UAE",0.433,0.244,0.306
"Johannesburg, South Africa",0.878,0.879,0.153
"Lagos, Nigeria",0.149,0.437,0.862
"Johannesburg, South Africa",0.276,0.664,0.683
Singapore,0.438,0.509,0.918
Singapore,0.199,0.347,0.12
"London, UK",0.898,0.658,0.93
"London, UK",0.559,0.48,0.571
"Berlin, Germany",0.23,0.609,0.222
"Lagos, Nigeria",0.299,0.414,0.327
"Johannesburg, South Africa",0.417,0.898,0.23
"Lagos, Nigeria",0.681,0.265,0.304
Singapore,0.343,0.246,0.336
"New York, USA",0.338,0.108,0.625
"London, UK",0.601,0.796,0.335
"New York, USA",0.137,0.226,0.542
"Berlin, Germany",0.67,0.297,0.678
"Lagos, Nigeria",0.538,0.265,0.801
"New York, USA",0.447,0.883,0.895
"Lagos, Nigeria",0.414,0.782,0.243
"Dubai, UAE",0.277,0.699,0.68
"New York, USA",0.292,0.41,0.202
Singapore,0.5,0.105,0.311
"Johannesburg, South Africa",0.259,0.874,0.613
"New York, USA",0.554,0.263,0.953
"Lagos, Nigeria",0.62,0.153,0.648
"Johannesburg, South Africa",0.466,0.404,0.888
"Berlin, Germany",0.186,0.323,0.705
Singapore,0.85,0.855,0.774
Singapore,0.767,0.122,0.299
Singapore,0.863,0.883,0.538
Singapore,0.395,0.569,0.824
"Dubai, UAE",0.126,0.34,0.694
"Toronto, Canada",0.449,0.794,0.128
"Toronto, Canada",0.472,0.434,0.701
"London, UK",0.665,0.526,0.273
"Dubai, UAE",0.688,0.214,0.938
"Toronto, Canada",0.44,0.804,0.936
"Johannesburg, South Africa",0.882,0.803,0.86
"Johannesburg, South Africa",0.19,0.701,0.276
"Dubai, UAE",0.822,0.681,0.203
"Lagos, Nigeria",0.716,0.26,0.902
"London, UK",0.527,0.454,0.534
"Toronto, Canada",0.71,0.174,0.89
"Dubai, UAE",0.703,0.573,0.87
"Toronto, Canada",0.233,0.269,0.873
"New York, USA",0.526,0.339,0.308
Singapore,0.477,0.753,0.693
"Johannesburg, South Africa",0.495,0.888,0.945
"New York, USA",0.235,0.404,0.402
"Toronto, Canada",0.408,0.735,0.693
"Dubai, UAE",0.515,0.206,0.43
"Dubai, UAE",0.647,0.523,0.338
"Dubai, UAE",0.439,0.541,0.833
"Johannesburg, South Africa",0.618,0.811,0.27
"Johannesburg, South Africa",0.594,0.293,0.198
"London, UK",0.75,0.151,0.347
Singapore,0.432,0.38,0.502
"Lagos, Nigeria",0.798,0.697,0.82
"Dubai, UAE",0.121,0.137,0.31
"Toronto, Canada",0.821,0.217,0.916
"Lagos, Nigeria",0.861,0.136,0.595
"Dubai, UAE",0.43,0.497,0.742
"London, UK",0.859,0.76,0.326
"Berlin, Germany",0.792,0.313,0.859
"London, UK",0.146,0.125,0.128
"Johannesburg, South Africa",0.621,0.241,0.29
"Berlin, Germany",0.834,0.167,0.802
"New York, USA",0.265,0.543,0.158
"Lagos, Nigeria",0.837,0.5,0.634
"New York, USA",0.266,0.296,0.751
"Johannesburg, South Africa",0.605,0.774,0.616
Singapore,0.404,0.429,0.191
"Lagos, Nigeria",0.538,0.875,0.639
"London, UK",0.325,0.287,0.65
"Toronto, Canada",0.426,0.598,0.537
"Toronto, Canada",0.503,0.736,0.428
"Berlin, Germany",0.502,0.251,0.319
"Toronto, Canada",0.895,0.735,0.169
"Lagos, Nigeria",0.784,0.807,0.132
Singapore,0.218,0.634,0.812
"Toronto, Canada",0.868,0.817,0.573
"New York, USA",0.555,0.414,0.233
"Dubai, UAE",0.588,0.421,0.185
"Toronto, Canada",0.321,0.115,0.182
"New York, USA",0.342,0.739,0.23
"Berlin, Germany",0.21,0.126,0.126
"Berlin, Germany",0.764,0.311,0.789
"London, UK",0.487,0.596,0.43
"London, UK",0.178,0.586,0.359
"London, UK",0.455,0.484,0.515
"New York, USA",0.372,0.594,0.38
"London, UK",0.652,0.358,0.728
"Berlin, Germany",0.249,0.263,0.368
"Toronto, Canada",0.848,0.334,0.659
"New York, USA",0.725,0.298,0.437
"Johannesburg, South Africa",0.413,0.443,0.468
"Johannesburg, South Africa",0.251,0.707,0.805
"London, UK",0.714,0.36,0.567
"London, UK",0.195,0.385,0.465
"Berlin, Germany",0.17,0.658,0.395
"Johannesburg, South Africa",0.644,0.831,0.69
"Toronto, Canada",0.26,0.308,0.664
"Lagos, Nigeria",0.614,0.689,0.175
"Toronto, Canada",0.384,0.599,0.707
"London, UK",0.177,0.517,0.507
"London, UK",0.6,0.115,0.977
"Toronto, Canada",0.617,0.405,0.522
"Toronto, Canada",0.532,0.264,0.949
"Berlin, Germany",0.379,0.212,0.824
"Lagos, Nigeria",0.831,0.32,0.971
Singapore,0.644,0.622,0.285
"New York, USA",0.544,0.531,0.399
"New York, USA",0.485,0.45,0.63
Singapore,0.774,0.216,0.188
"Lagos, Nigeria",0.869,0.723,0.74
"Berlin, Germany",0.546,0.485,0.342
"Toronto, Canada",0.14,0.616,0.234
"Johannesburg, South Africa",0.493,0.129,0.153
"London, UK",0.616,0.814,0.474
Singapore,0.754,0.514,0.215
Singapore,0.348,0.38,0.549
"Lagos, Nigeria",0.641,0.762,0.468
Singapore,0.137,0.749,0.884
