claim_id,anomaly_score,network_flag,fraud_reason
CLM0001323,0.432,1,Fake Identity
CLM0001001,0.253,0,Fake Identity
CLM0001632,0.658,0,Suspicious Pattern
CLM0001363,0.264,1,Inflated Amount
CLM0002751,0.111,0,Suspicious Pattern
CLM0001587,0.321,1,Inflated Amount
CLM0002250,0.487,0,Suspicious Pattern
CLM0001520,0.728,1,Suspicious Pattern
CLM0000174,0.487,1,Suspicious Pattern
CLM0000095,0.035,0,Suspicious Pattern
CLM0001702,0.704,1,Suspicious Pattern
CLM0001153,0.774,1,Suspicious Pattern
CLM0002133,0.103,0,Suspicious Pattern
CLM0002009,0.721,0,Suspicious Pattern
CLM0000270,0.657,0,Inflated Amount
CLM0000550,0.39,1,Suspicious Pattern
CLM0001828,0.796,0,Duplicate Claim
CLM0001984,0.711,0,Suspicious Pattern
CLM0000637,0.569,0,Duplicate Claim
CLM0001630,0.763,1,Inflated Amount
CLM0001917,0.436,1,Suspicious Pattern
CLM0002085,0.609,1,Duplicate Claim
CLM0000598,0.041,1,Inflated Amount
CLM0000188,0.451,1,Suspicious Pattern
CLM0001183,0.605,0,Duplicate Claim
CLM0000302,0.004,0,Fake Identity
CLM0000820,0.397,1,Suspicious Pattern
CLM0000096,0.534,0,Inflated Amount
CLM0000396,0.37,0,Inflated Amount
CLM0002196,0.362,0,Suspicious Pattern
CLM0001431,0.858,0,Duplicate Claim
CLM0001552,0.964,1,Duplicate Claim
CLM0001636,0.097,1,Suspicious Pattern
CLM0001440,0.911,1,Fake Identity
CLM0000056,0.379,1,Duplicate Claim
CLM0002305,0.238,0,Inflated Amount
CLM0002985,0.15,0,Suspicious Pattern
CLM0001381,0.748,0,Fake Identity
CLM0000859,0.724,0,Inflated Amount
CLM0000850,0.095,0,Duplicate Claim
CLM0002038,0.959,0,Inflated Amount
CLM0002333,0.072,1,Suspicious Pattern
CLM0001352,0.497,1,Fake Identity
CLM0001112,0.645,1,Suspicious Pattern
CLM0002186,0.888,0,Inflated Amount
CLM0002279,0.27,0,Suspicious Pattern
CLM0001002,0.268,1,Duplicate Claim
CLM0002032,0.781,1,Inflated Amount
CLM0000579,0.411,1,Suspicious Pattern
CLM0000753,0.206,0,Inflated Amount
CLM0000155,0.021,1,Fake Identity
CLM0001578,0.746,1,Suspicious Pattern
CLM0001560,0.015,0,Suspicious Pattern
CLM0000319,0.638,1,Suspicious Pattern
CLM0001416,0.429,0,Duplicate Claim
CLM0001034,0.634,0,Fake Identity
CLM0001498,0.76,0,Fake Identity
CLM0001532,0.648,1,Fake Identity
CLM0000051,0.466,0,Duplicate Claim
CLM0000993,0.907,0,Suspicious Pattern
CLM0002539,0.004,0,Inflated Amount
CLM0002717,0.048,1,Duplicate Claim
CLM0002037,0.487,1,Inflated Amount
CLM0000596,0.247,1,Fake Identity
CLM0001896,0.43,1,Inflated Amount
CLM0000395,0.287,0,Duplicate Claim
CLM0001160,0.231,0,Duplicate Claim
CLM0001793,0.923,0,Duplicate Claim
CLM0001231,0.217,0,Inflated Amount
CLM0002931,0.091,1,Inflated Amount
CLM0002836,0.226,0,Duplicate Claim
CLM0002270,0.427,0,Duplicate Claim
CLM0002933,0.223,1,Inflated Amount
CLM0000047,0.098,0,Fake Identity
CLM0002326,0.269,1,Duplicate Claim
CLM0001510,0.906,1,Inflated Amount
CLM0001495,0.753,1,Duplicate Claim
CLM0001046,0.233,0,Suspicious Pattern
CLM0001662,0.607,0,Fake Identity
CLM0000335,0.856,0,Fake Identity
CLM0001101,0.971,1,Suspicious Pattern
CLM0000022,0.074,1,Suspicious Pattern
CLM0001740,0.204,1,Suspicious Pattern
CLM0002672,0.943,1,Fake Identity
CLM0001964,0.885,0,Inflated Amount
CLM0002129,0.299,0,Fake Identity
CLM0002554,0.198,1,Suspicious Pattern
CLM0002493,0.815,1,Duplicate Claim
CLM0001914,0.105,1,Suspicious Pattern
CLM0000992,0.62,1,Suspicious Pattern
CLM0001453,0.908,0,Fake Identity
CLM0002217,0.18,0,Suspicious Pattern
CLM0002098,0.125,0,Duplicate Claim
CLM0001354,0.643,1,Duplicate Claim
CLM0001773,0.614,0,Suspicious Pattern
CLM0001909,0.067,1,Suspicious Pattern
CLM0001938,0.361,0,Duplicate Claim
CLM0000979,0.927,1,Duplicate Claim
CLM0000091,0.23,0,Duplicate Claim
CLM0002568,0.529,0,Fake Identity
CLM0002425,0.353,0,Inflated Amount
CLM0000530,0.904,1,Fake Identity
CLM0002926,0.521,1,Fake Identity
CLM0000862,0.45,1,Inflated Amount
CLM0001177,0.892,1,Fake Identity
CLM0001075,0.644,1,Inflated Amount
CLM0000641,0.357,0,Suspicious Pattern
CLM0001382,0.993,0,Suspicious Pattern
CLM0002225,0.916,0,Duplicate Claim
CLM0001486,0.265,1,Fake Identity
CLM0002701,0.034,1,Suspicious Pattern
CLM0001007,0.121,1,Duplicate Claim
CLM0000345,0.155,0,Duplicate Claim
CLM0000320,0.735,1,Inflated Amount
CLM0002568,0.376,0,Fake Identity
CLM0000147,0.339,1,Duplicate Claim
CLM0001086,0.559,0,Suspicious Pattern
CLM0000936,0.136,0,Duplicate Claim
CLM0000374,0.276,0,Duplicate Claim
CLM0001333,0.485,0,Suspicious Pattern
CLM0000625,0.469,0,Inflated Amount
CLM0002409,0.612,1,Inflated Amount
CLM0000882,0.31,0,Suspicious Pattern
CLM0000873,0.382,1,Duplicate Claim
CLM0002051,0.063,0,Fake Identity
CLM0000890,0.649,1,Inflated Amount
CLM0002589,0.499,1,Duplicate Claim
CLM0002128,0.042,0,Duplicate Claim
CLM0001415,0.505,0,Suspicious Pattern
CLM0002033,0.261,1,Inflated Amount
CLM0001973,0.147,0,Duplicate Claim
CLM0002645,0.005,1,Suspicious Pattern
CLM0001262,0.982,0,Suspicious Pattern
CLM0000683,0.948,0,Fake Identity
CLM0001806,0.825,1,Suspicious Pattern
CLM0002983,0.216,0,Suspicious Pattern
CLM0000280,0.869,0,Inflated Amount
CLM0001246,0.897,1,Inflated Amount
CLM0000248,0.082,0,Suspicious Pattern
CLM0002849,0.521,0,Fake Identity
CLM0002420,0.107,0,Duplicate Claim
CLM0000854,0.533,1,Suspicious Pattern
CLM0001598,0.844,1,Suspicious Pattern
CLM0000459,0.627,0,Inflated Amount
CLM0000463,0.063,0,Fake Identity
CLM0001394,0.01,1,Fake Identity
CLM0000368,0.094,0,Duplicate Claim
CLM0001463,0.909,1,Inflated Amount
CLM0002041,0.985,1,Inflated Amount
CLM0002062,0.483,1,Suspicious Pattern
CLM0000608,0.357,0,Suspicious Pattern
CLM0002622,0.344,1,Fake Identity
CLM0002586,0.425,0,Suspicious Pattern
CLM0001789,0.395,0,Fake Identity
CLM0001029,0.767,0,Inflated Amount
CLM0000943,0.528,1,Duplicate Claim
CLM0001228,0.086,0,Duplicate Claim
CLM0002589,0.088,1,Duplicate Claim
CLM0002485,0.111,0,Fake Identity
CLM0002015,0.389,1,Fake Identity
CLM0002388,0.269,1,Duplicate Claim
CLM0001503,0.37,0,Inflated Amount
CLM0001020,0.094,0,Fake Identity
CLM0002123,0.907,0,Fake Identity
CLM0001908,0.828,1,Inflated Amount
CLM0001469,0.559,1,Suspicious Pattern
CLM0000240,0.571,0,Fake Identity
CLM0001672,0.504,0,Fake Identity
CLM0001224,0.228,1,Duplicate Claim
CLM0000386,0.654,1,Duplicate Claim
CLM0002852,0.092,1,Suspicious Pattern
CLM0000919,0.584,0,Inflated Amount
CLM0000297,0.44,1,Duplicate Claim
CLM0001421,0.058,1,Fake Identity
CLM0002527,0.433,0,Duplicate Claim
CLM0001645,0.591,0,Suspicious Pattern
CLM0000699,0.08,0,Duplicate Claim
CLM0002196,0.298,0,Fake Identity
CLM0001882,0.202,0,Fake Identity
CLM0002404,0.024,0,Suspicious Pattern
CLM0002700,0.082,0,Suspicious Pattern
CLM0002563,0.189,0,Suspicious Pattern
CLM0000629,0.6,0,Fake Identity
CLM0000389,0.943,0,Duplicate Claim
CLM0002117,0.657,1,Duplicate Claim
CLM0002007,0.98,0,Duplicate Claim
CLM0000462,0.968,1,Inflated Amount
CLM0001521,0.521,0,Duplicate Claim
CLM0002215,0.222,1,Suspicious Pattern
CLM0002851,0.913,1,Inflated Amount
CLM0000870,0.535,0,Fake Identity
CLM0001461,0.152,0,Fake Identity
CLM0000785,0.379,0,Inflated Amount
CLM0001991,0.334,0,Fake Identity
CLM0001812,0.36,1,Fake Identity
CLM0000546,0.099,1,Inflated Amount
CLM0000638,0.462,0,Inflated Amount
CLM0000626,0.526,1,Suspicious Pattern
CLM0000808,0.876,0,Suspicious Pattern
CLM0002445,0.064,0,Duplicate Claim
CLM0000902,0.811,1,Duplicate Claim
CLM0000824,0.628,1,Inflated Amount
CLM0002423,0.967,1,Suspicious Pattern
CLM0002419,0.828,0,Inflated Amount
CLM0000505,0.451,0,Inflated Amount
CLM0001115,0.779,1,Inflated Amount
CLM0000637,0.923,1,Inflated Amount
CLM0001112,0.496,1,Duplicate Claim
CLM0000359,0.266,1,Inflated Amount
CLM0001429,0.405,1,Fake Identity
CLM0001564,0.423,1,Duplicate Claim
CLM0001285,0.602,1,Fake Identity
CLM0002410,0.426,0,Suspicious Pattern
CLM0000850,0.6,0,Duplicate Claim
CLM0001800,0.033,1,Fake Identity
CLM0002928,0.377,0,Fake Identity
CLM0001186,0.668,0,Inflated Amount
CLM0000567,0.111,0,Inflated Amount
CLM0000790,0.215,1,Duplicate Claim
CLM0001111,0.731,0,Duplicate Claim
CLM0000311,0.661,1,Inflated Amount
CLM0000411,0.346,1,Fake Identity
CLM0000334,0.992,1,Duplicate Claim
CLM0000922,0.311,1,Duplicate Claim
CLM0000041,0.247,0,Inflated Amount
CLM0000967,0.341,0,Inflated Amount
CLM0001752,0.751,0,Duplicate Claim
CLM0000073,0.092,1,Fake Identity
CLM0000747,0.288,0,Duplicate Claim
CLM0002119,0.608,0,Inflated Amount
CLM0000741,0.865,0,Duplicate Claim
CLM0001471,0.436,0,Duplicate Claim
CLM0001732,0.381,0,Fake Identity
CLM0002268,0.351,1,Duplicate Claim
CLM0000177,0.053,0,Fake Identity
CLM0001873,0.938,0,Inflated Amount
CLM0002408,0.044,1,Suspicious Pattern
CLM0002694,0.562,0,Inflated Amount
CLM0002513,0.793,1,Duplicate Claim
CLM0001259,0.857,1,Inflated Amount
CLM0002485,0.185,0,Suspicious Pattern
CLM0000140,0.033,1,Inflated Amount
CLM0000488,0.768,1,Duplicate Claim
CLM0000602,0.061,0,Duplicate Claim
CLM0000698,0.437,0,Duplicate Claim
CLM0001502,0.355,0,Inflated Amount
CLM0001310,0.134,1,Suspicious Pattern
CLM0000320,0.531,1,Fake Identity
CLM0002682,0.151,0,Suspicious Pattern
CLM0001203,0.664,1,Suspicious Pattern
CLM0000132,0.797,1,Suspicious Pattern
CLM0000600,0.231,0,Inflated Amount
CLM0002248,0.74,1,Inflated Amount
CLM0000607,0.646,1,Suspicious Pattern
CLM0002642,0.27,0,Suspicious Pattern
CLM0000674,0.195,0,Fake Identity
CLM0001339,0.874,0,Suspicious Pattern
CLM0001825,0.201,0,Fake Identity
CLM0002121,0.079,1,Suspicious Pattern
CLM0000852,0.318,1,Fake Identity
CLM0000808,0.905,1,Fake Identity
CLM0000943,0.586,0,Inflated Amount
CLM0001643,0.718,1,Fake Identity
CLM0002727,0.219,0,Inflated Amount
CLM0000021,0.494,0,Inflated Amount
CLM0000462,0.791,0,Suspicious Pattern
CLM0002398,0.37,0,Suspicious Pattern
CLM0000814,0.716,0,Suspicious Pattern
CLM0000115,0.583,0,Duplicate Claim
CLM0000371,0.335,0,Duplicate Claim
CLM0000017,0.414,1,Fake Identity
CLM0002337,0.736,0,Inflated Amount
CLM0002090,0.749,0,Duplicate Claim
CLM0002032,0.891,1,Fake Identity
CLM0000229,0.539,0,Fake Identity
CLM0002824,0.444,0,Duplicate Claim
CLM0001156,0.781,1,Inflated Amount
CLM0000487,0.386,1,Duplicate Claim
CLM0002666,0.593,1,Fake Identity
CLM0000139,0.76,1,Fake Identity
CLM0000149,0.925,1,Duplicate Claim
CLM0002436,0.889,0,Suspicious Pattern
CLM0001263,0.661,1,Duplicate Claim
CLM0001771,0.021,0,Fake Identity
CLM0001311,0.738,0,Fake Identity
CLM0001973,0.331,1,Duplicate Claim
CLM0000255,0.833,0,Fake Identity
CLM0001296,0.027,0,Fake Identity
CLM0002931,0.113,0,Suspicious Pattern
CLM0002152,0.69,0,Suspicious Pattern
CLM0001014,0.266,0,Duplicate Claim
CLM0000049,0.318,0,Duplicate Claim
CLM0002346,0.4,0,Fake Identity
CLM0002390,0.19,0,Fake Identity
CLM0002360,0.859,0,Suspicious Pattern
CLM0001502,0.088,1,Suspicious Pattern
CLM0002896,0.17,1,Inflated Amount
CLM0002930,0.381,1,Inflated Amount
CLM0001524,0.376,0,Inflated Amount
CLM0001881,0.052,1,Duplicate Claim
CLM0001575,0.338,1,Fake Identity
CLM0002733,0.764,1,Duplicate Claim
CLM0000319,0.891,1,Suspicious Pattern
CLM0000535,0.124,0,Inflated Amount
CLM0000366,0.652,1,Inflated Amount
CLM0002349,0.927,0,Duplicate Claim
CLM0000898,0.3,0,Fake Identity
CLM0002837,0.877,0,Inflated Amount
CLM0001288,0.156,0,Duplicate Claim
CLM0002535,0.861,1,Fake Identity
CLM0000219,0.427,1,Suspicious Pattern
CLM0002596,0.825,1,Fake Identity
CLM0002800,0.211,1,Inflated Amount
CLM0000624,0.069,0,Suspicious Pattern
CLM0001864,0.596,1,Fake Identity
CLM0002869,0.266,1,Fake Identity
CLM0002161,0.807,1,Inflated Amount
CLM0002278,0.825,1,Duplicate Claim
CLM0002996,0.723,1,Duplicate Claim
CLM0002797,0.498,0,Inflated Amount
CLM0000394,0.923,1,Fake Identity
CLM0001249,0.586,0,Inflated Amount
CLM0002997,0.18,0,Fake Identity
CLM0001958,0.582,0,Inflated Amount
CLM0001307,0.576,0,Inflated Amount
CLM0002974,0.64,0,Duplicate Claim
CLM0001098,0.099,1,Inflated Amount
CLM0000296,0.689,1,Duplicate Claim
CLM0001128,0.403,1,Inflated Amount
CLM0002702,0.61,1,Suspicious Pattern
CLM0002751,0.921,1,Suspicious Pattern
CLM0002951,0.339,0,Duplicate Claim
CLM0000651,0.552,1,Suspicious Pattern
CLM0002719,0.77,1,Suspicious Pattern
CLM0001721,0.121,1,Fake Identity
CLM0002039,0.354,1,Fake Identity
CLM0000666,0.136,0,Fake Identity
CLM0002876,0.84,0,Inflated Amount
CLM0001942,0.772,0,Suspicious Pattern
CLM0001862,0.317,0,Suspicious Pattern
CLM0001835,0.029,0,Duplicate Claim
CLM0000894,0.41,0,Suspicious Pattern
CLM0002511,0.017,1,Duplicate Claim
CLM0002546,0.292,0,Suspicious Pattern
CLM0000927,0.21,1,Suspicious Pattern
CLM0001418,0.233,0,Inflated Amount
CLM0000050,0.69,1,Suspicious Pattern
CLM0000846,0.709,0,Suspicious Pattern
CLM0001278,0.706,0,Duplicate Claim
CLM0000521,0.82,0,Inflated Amount
CLM0002392,0.793,0,Duplicate Claim
CLM0000211,0.627,0,Inflated Amount
CLM0002589,0.227,0,Duplicate Claim
CLM0002099,0.354,0,Fake Identity
CLM0002357,0.412,0,Suspicious Pattern
CLM0001192,0.707,1,Duplicate Claim
CLM0002496,0.536,0,Suspicious Pattern
CLM0001339,0.742,0,Inflated Amount
CLM0000996,0.159,0,Duplicate Claim
CLM0000377,0.232,1,Duplicate Claim
CLM0000789,0.057,1,Duplicate Claim
CLM0001252,0.585,0,Inflated Amount
CLM0002844,0.965,1,Inflated Amount
CLM0002812,0.543,1,Duplicate Claim
CLM0000038,0.22,1,Inflated Amount
CLM0001206,0.616,0,Suspicious Pattern
CLM0002694,0.68,1,Inflated Amount
CLM0001861,0.578,1,Suspicious Pattern
CLM0000365,0.372,1,Fake Identity
CLM0002671,0.83,0,Duplicate Claim
CLM0000499,0.492,0,Fake Identity
CLM0001816,0.989,0,Inflated Amount
CLM0001571,0.243,0,Duplicate Claim
CLM0000880,0.223,0,Inflated Amount
CLM0002386,0.075,1,Fake Identity
CLM0000688,0.399,0,Fake Identity
CLM0000662,0.248,0,Suspicious Pattern
CLM0001950,0.833,0,Fake Identity
CLM0002090,0.52,1,Inflated Amount
CLM0002283,0.06,0,Duplicate Claim
CLM0000143,0.357,0,Suspicious Pattern
CLM0001707,0.696,1,Suspicious Pattern
CLM0000532,0.486,1,Duplicate Claim
CLM0002881,0.352,0,Fake Identity
CLM0002233,0.155,0,Duplicate Claim
CLM0002450,0.666,1,Suspicious Pattern
CLM0000028,0.178,0,Duplicate Claim
CLM0000711,0.87,1,Fake Identity
CLM0002318,0.989,1,Duplicate Claim
CLM0001788,0.553,1,Suspicious Pattern
CLM0001274,0.117,1,Fake Identity
CLM0001394,0.686,0,Suspicious Pattern
CLM0000294,0.133,0,Inflated Amount
CLM0002874,0.902,0,Inflated Amount
CLM0000198,0.586,1,Inflated Amount
CLM0001213,0.8,0,Fake Identity
CLM0000154,0.625,0,Duplicate Claim
CLM0002756,0.526,1,Fake Identity
CLM0000220,0.525,1,Inflated Amount
CLM0000461,0.739,0,Duplicate Claim
CLM0002658,0.903,1,Duplicate Claim
CLM0002258,0.219,1,Duplicate Claim
CLM0001176,0.114,1,Suspicious Pattern
CLM0000138,0.056,1,Duplicate Claim
CLM0002987,0.867,1,Inflated Amount
CLM0000823,0.122,0,Fake Identity
CLM0000733,0.629,1,Duplicate Claim
CLM0002625,0.313,0,Duplicate Claim
CLM0002838,0.563,0,Duplicate Claim
CLM0000187,0.085,0,Inflated Amount
CLM0000858,0.58,1,Suspicious Pattern
CLM0001400,0.878,0,Inflated Amount
CLM0001866,0.266,1,Suspicious Pattern
CLM0002440,0.322,1,Suspicious Pattern
CLM0002295,0.218,0,Fake Identity
CLM0001620,0.13,1,Fake Identity
CLM0001558,0.072,1,Duplicate Claim
CLM0001465,0.67,1,Inflated Amount
CLM0001460,0.346,1,Duplicate Claim
CLM0001328,0.458,1,Inflated Amount
CLM0001144,0.322,0,Suspicious Pattern
CLM0002136,0.744,0,Inflated Amount
CLM0002454,0.683,1,Fake Identity
CLM0002481,0.666,0,Suspicious Pattern
CLM0002690,0.766,0,Fake Identity
CLM0002884,0.583,0,Suspicious Pattern
CLM0001573,0.097,0,Inflated Amount
CLM0000149,0.423,1,Suspicious Pattern
CLM0001532,0.317,0,Suspicious Pattern
CLM0002330,0.342,1,Duplicate Claim
CLM0001679,0.196,1,Inflated Amount
CLM0000483,0.161,0,Inflated Amount
CLM0000559,0.466,0,Inflated Amount
CLM0001295,0.971,1,Fake Identity
CLM0002646,0.022,0,Inflated Amount
CLM0000474,0.283,0,Inflated Amount
CLM0001418,0.966,1,Fake Identity
CLM0002174,0.357,0,Fake Identity
CLM0001684,0.655,0,Suspicious Pattern
CLM0000956,0.268,1,Inflated Amount
CLM0000249,0.542,1,Inflated Amount
CLM0001356,0.174,0,Duplicate Claim
CLM0000382,0.539,0,Fake Identity
CLM0000809,0.479,0,Inflated Amount
CLM0002072,0.835,1,Fake Identity
CLM0002752,0.804,0,Fake Identity
CLM0002539,0.182,0,Suspicious Pattern
CLM0001394,0.94,1,Fake Identity
CLM0002494,0.389,1,Inflated Amount
CLM0000916,0.051,0,Duplicate Claim
CLM0002963,0.077,0,Suspicious Pattern
CLM0001639,0.419,1,Suspicious Pattern
CLM0002049,0.887,1,Fake Identity
CLM0002628,0.156,1,Suspicious Pattern
CLM0000771,0.481,0,Inflated Amount
CLM0000420,0.539,1,Suspicious Pattern
CLM0001739,0.891,1,Inflated Amount
CLM0002323,0.012,0,Duplicate Claim
CLM0002249,0.89,1,Fake Identity
CLM0002218,0.27,0,Fake Identity
CLM0001321,0.871,1,Suspicious Pattern
CLM0000020,0.424,1,Duplicate Claim
CLM0002962,0.327,0,Fake Identity
CLM0001517,0.99,1,Fake Identity
CLM0002489,0.782,0,Inflated Amount
CLM0000228,0.485,1,Inflated Amount
CLM0001578,0.374,0,Inflated Amount
CLM0001760,0.319,1,Inflated Amount
CLM0002628,0.692,0,Suspicious Pattern
CLM0000990,0.417,0,Suspicious Pattern
CLM0001547,0.65,0,Inflated Amount
CLM0002003,0.416,0,Duplicate Claim
CLM0002541,0.371,0,Suspicious Pattern
CLM0001400,0.332,1,Inflated Amount
CLM0000261,0.919,1,Inflated Amount
CLM0002938,0.766,0,Duplicate Claim
CLM0000491,0.655,1,Duplicate Claim
CLM0002278,0.665,1,Duplicate Claim
CLM0002899,0.182,0,Fake Identity
CLM0001684,0.936,1,Fake Identity
CLM0000962,0.106,1,Duplicate Claim
CLM0000186,0.224,1,Suspicious Pattern
CLM0001253,0.024,0,Suspicious Pattern
CLM0000363,0.369,0,Inflated Amount
CLM0001677,0.307,0,Inflated Amount
CLM0002112,0.842,1,Duplicate Claim
CLM0000382,0.667,0,Fake Identity
CLM0002986,0.793,0,Inflated Amount
CLM0002434,0.149,1,Suspicious Pattern
CLM0000434,0.571,0,Inflated Amount
CLM0002477,0.49,1,Suspicious Pattern
CLM0001540,0.426,0,Duplicate Claim
CLM0001213,0.993,1,Fake Identity
CLM0001264,0.447,1,Fake Identity
CLM0002370,0.107,1,Suspicious Pattern
CLM0002135,0.033,0,Inflated Amount
CLM0001793,0.798,1,Duplicate Claim
CLM0002417,0.01,0,Inflated Amount
CLM0000416,0.918,0,Suspicious Pattern
CLM0000275,0.209,0,Inflated Amount
CLM0000287,0.882,1,Suspicious Pattern
CLM0000822,0.794,1,Duplicate Claim
CLM0000004,0.21,0,Fake Identity
CLM0000903,0.836,0,Duplicate Claim
CLM0001056,0.321,1,Suspicious Pattern
CLM0000353,0.209,1,Suspicious Pattern
CLM0002054,0.214,1,Fake Identity
CLM0000354,0.874,0,Suspicious Pattern
CLM0002943,0.015,0,Duplicate Claim
CLM0000051,0.74,0,Duplicate Claim
CLM0002575,0.803,0,Fake Identity
CLM0000767,0.371,0,Suspicious Pattern
CLM0001564,0.706,0,Suspicious Pattern
CLM0000080,0.905,1,Duplicate Claim
CLM0002042,0.543,0,Suspicious Pattern
CLM0001045,0.653,0,Suspicious Pattern
CLM0000598,0.7,1,Duplicate Claim
CLM0000867,0.962,0,Suspicious Pattern
CLM0002457,0.42,1,Fake Identity
CLM0002728,0.559,1,Duplicate Claim
CLM0000794,0.467,0,Duplicate Claim
CLM0001428,0.316,0,Fake Identity
CLM0002474,0.943,0,Fake Identity
CLM0002415,0.489,1,Inflated Amount
CLM0000612,0.931,0,Fake Identity
CLM0001401,0.991,0,Duplicate Claim
CLM0001428,0.857,0,Fake Identity
CLM0001918,0.165,1,Suspicious Pattern
CLM0002420,0.038,0,Suspicious Pattern
CLM0000557,0.541,1,Fake Identity
CLM0002469,0.538,1,Duplicate Claim
CLM0002203,0.605,1,Suspicious Pattern
CLM0000864,0.057,1,Fake Identity
CLM0002862,0.29,0,Duplicate Claim
CLM0002568,0.497,1,Inflated Amount
CLM0002828,0.514,1,Suspicious Pattern
CLM0001881,0.947,1,Inflated Amount
CLM0002002,0.966,1,Suspicious Pattern
CLM0001601,0.89,1,Duplicate Claim
CLM0002880,0.25,1,Inflated Amount
CLM0000893,0.641,1,Fake Identity
CLM0002464,0.274,1,Duplicate Claim
CLM0001326,0.951,1,Inflated Amount
CLM0001572,0.506,0,Suspicious Pattern
CLM0001454,0.828,0,Fake Identity
CLM0002454,0.393,0,Fake Identity
CLM0000400,0.381,0,Inflated Amount
CLM0000381,0.034,0,Fake Identity
CLM0001052,0.459,1,Inflated Amount
CLM0000117,0.644,0,Suspicious Pattern
CLM0002724,0.13,1,Fake Identity
CLM0001656,0.185,0,Suspicious Pattern
CLM0000765,0.972,1,Fake Identity
CLM0002512,0.732,1,Suspicious Pattern
CLM0002785,0.909,0,Fake Identity
CLM0002855,0.476,1,Duplicate Claim
CLM0002252,0.179,1,Fake Identity
CLM0000932,0.166,0,Suspicious Pattern
CLM0002298,0.542,0,Duplicate Claim
CLM0001072,0.715,1,Suspicious Pattern
CLM0002724,0.916,1,Inflated Amount
CLM0001508,0.407,0,Inflated Amount
CLM0000305,0.325,1,Duplicate Claim
CLM0002932,0.935,0,Inflated Amount
CLM0001082,0.454,0,Duplicate Claim
CLM0001948,0.521,0,Duplicate Claim
CLM0000738,0.449,1,Fake Identity
CLM0001680,0.768,1,Duplicate Claim
CLM0000989,0.071,0,Suspicious Pattern
CLM0000628,0.836,0,Duplicate Claim
CLM0000989,0.392,0,Suspicious Pattern
CLM0002167,0.966,1,Inflated Amount
CLM0001559,0.3,1,Inflated Amount
CLM0000977,0.47,0,Fake Identity
CLM0002244,0.422,1,Fake Identity
CLM0002903,0.801,0,Inflated Amount
CLM0000598,0.672,1,Fake Identity
CLM0001830,0.647,1,Fake Identity
CLM0002206,0.714,1,Fake Identity
CLM0001398,0.959,0,Inflated Amount
CLM0001600,0.478,0,Fake Identity
CLM0002198,0.652,1,Duplicate Claim
CLM0002907,0.684,1,Inflated Amount
CLM0002326,0.857,1,Suspicious Pattern
CLM0002111,0.288,1,Duplicate Claim
CLM0000408,0.806,1,Suspicious Pattern
CLM0001019,0.499,0,Inflated Amount
CLM0002226,0.016,1,Suspicious Pattern
CLM0000225,0.153,1,Fake Identity
CLM0001110,0.839,0,Suspicious Pattern
CLM0002439,0.268,1,Duplicate Claim
CLM0000442,0.297,0,Inflated Amount
CLM0002505,0.735,0,Inflated Amount
CLM0002257,0.686,0,Duplicate Claim
CLM0001686,0.45,1,Inflated Amount
CLM0000992,0.73,0,Suspicious Pattern
CLM0000164,0.61,1,Suspicious Pattern
CLM0002734,0.183,1,Duplicate Claim
CLM0001674,0.277,1,Suspicious Pattern
CLM0002519,0.064,0,Suspicious Pattern
CLM0002437,0.662,0,Inflated Amount
CLM0002560,0.055,1,Duplicate Claim
CLM0001739,0.743,1,Fake Identity
CLM0001597,0.533,0,Duplicate Claim
CLM0002068,0.439,1,Fake Identity
CLM0001930,0.597,0,Fake Identity
CLM0001690,0.62,1,Fake Identity
CLM0001292,0.584,1,Duplicate Claim
CLM0002154,0.713,0,Fake Identity
CLM0000473,0.636,0,Inflated Amount
CLM0002696,0.483,1,Suspicious Pattern
CLM0001300,0.83,0,Duplicate Claim
CLM0002521,0.974,1,Duplicate Claim
CLM0002288,0.613,0,Duplicate Claim
CLM0000559,0.712,0,Inflated Amount
CLM0001374,0.508,0,Suspicious Pattern
CLM0001740,0.401,0,Duplicate Claim
CLM0001032,0.861,1,Fake Identity
CLM0000471,0.195,0,Inflated Amount
CLM0000644,0.69,0,Fake Identity
CLM0002753,0.137,0,Duplicate Claim
CLM0001317,0.767,1,Fake Identity
CLM0001441,0.235,0,Suspicious Pattern
CLM0000613,0.607,0,Suspicious Pattern
CLM0002175,0.139,1,Fake Identity
CLM0000419,0.001,0,Inflated Amount
CLM0001177,0.741,1,Inflated Amount
CLM0001215,0.875,0,Inflated Amount
CLM0002344,0.8,0,Duplicate Claim
CLM0001854,0.133,0,Suspicious Pattern
CLM0000668,0.235,0,Inflated Amount
CLM0000053,0.824,1,Suspicious Pattern
CLM0001891,0.017,1,Inflated Amount
CLM0001520,0.528,1,Inflated Amount
CLM0001603,0.836,1,Fake Identity
CLM0002370,0.195,0,Duplicate Claim
CLM0001872,0.144,1,Inflated Amount
CLM0000382,0.182,1,Inflated Amount
CLM0001265,0.756,0,Duplicate Claim
CLM0002799,0.965,0,Fake Identity
CLM0000238,0.211,0,Inflated Amount
CLM0002812,0.109,1,Inflated Amount
CLM0001377,0.271,0,Fake Identity
CLM0001799,0.111,0,Fake Identity
CLM0001815,0.005,0,Fake Identity
CLM0001146,0.45,1,Fake Identity
CLM0002143,0.751,0,Suspicious Pattern
CLM0001086,0.311,1,Inflated Amount
CLM0000850,0.331,1,Suspicious Pattern
