date,inflation_rate,unemployment_rate,interest_rate
2020-01-05,11.7,11.17,1.31
2020-01-06,13.8,9.87,7.73
2020-01-07,9.3,4.69,3.77
2020-01-08,6.96,2.28,9.39
2020-01-09,13.95,9.16,7.3
2020-01-10,6.0,10.22,3.3
2020-01-11,9.83,8.8,6.98
2020-01-12,12.97,5.82,8.72
2020-01-13,13.82,3.27,4.64
2020-01-14,14.29,5.47,5.84
2020-01-15,10.24,4.69,2.57
2020-01-16,11.08,9.23,4.32
2020-01-17,7.97,3.59,6.0
2020-01-18,4.99,10.2,6.35
2020-01-19,1.23,8.12,7.34
2020-01-20,4.11,6.83,9.59
2020-01-21,14.72,5.6,8.47
2020-01-22,12.29,7.07,8.59
2020-01-23,7.71,7.4,5.8
2020-01-24,5.81,4.37,1.87
2020-01-25,1.9,11.89,6.54
2020-01-26,1.14,11.1,4.36
2020-01-27,11.57,5.91,0.8
2020-01-28,14.8,4.54,2.35
2020-01-29,4.55,5.07,7.71
2020-01-30,4.84,11.8,6.49
2020-01-31,14.09,6.07,9.8
2020-02-01,9.43,11.12,9.27
2020-02-02,3.43,2.59,6.15
2020-02-03,1.64,9.77,1.97
2020-02-04,8.89,9.62,3.7
2020-02-05,7.34,8.51,2.71
2020-02-06,7.05,3.21,4.97
2020-02-07,14.57,11.81,8.11
2020-02-08,4.68,4.13,8.31
2020-02-09,7.83,9.1,2.19
2020-02-10,3.99,9.51,5.72
2020-02-11,5.51,9.6,6.93
2020-02-12,11.72,10.26,4.27
2020-02-13,3.76,11.89,9.1
2020-02-14,10.47,2.96,3.91
2020-02-15,2.82,6.72,5.16
2020-02-16,3.67,11.75,6.07
2020-02-17,1.32,10.82,4.56
2020-02-18,9.83,11.91,9.65
2020-02-19,14.86,7.82,7.72
2020-02-20,10.19,8.73,8.38
2020-02-21,13.93,4.64,7.65
2020-02-22,8.37,6.58,6.09
2020-02-23,10.52,2.21,0.77
2020-02-24,13.96,9.2,7.77
2020-02-25,2.21,11.26,6.32
2020-02-26,9.36,3.12,1.27
2020-02-27,9.06,6.54,1.63
2020-02-28,1.46,8.23,5.07
2020-02-29,3.19,8.32,8.6
2020-03-01,8.73,5.07,5.76
2020-03-02,7.97,2.2,9.24
2020-03-03,5.81,10.88,8.25
2020-03-04,10.77,2.92,6.49
2020-03-05,6.04,3.78,3.48
2020-03-06,11.76,11.63,8.6
2020-03-07,12.33,7.0,6.76
2020-03-08,10.02,10.74,5.75
2020-03-09,4.91,10.97,5.26
2020-03-10,12.24,11.89,2.52
2020-03-11,4.53,2.41,0.65
2020-03-12,5.24,2.53,7.31
2020-03-13,9.52,3.91,9.24
2020-03-14,10.65,8.56,2.24
2020-03-15,6.2,4.62,9.38
2020-03-16,9.28,6.96,1.18
2020-03-17,4.47,9.86,5.75
2020-03-18,12.13,3.86,1.6
2020-03-19,14.89,4.86,8.95
2020-03-20,10.78,9.28,1.48
2020-03-21,5.47,2.08,2.89
2020-03-22,5.88,9.57,8.16
2020-03-23,1.43,8.76,7.04
2020-03-24,10.06,3.3,4.19
2020-03-25,9.4,4.44,8.45
2020-03-26,14.36,2.15,6.54
2020-03-27,6.63,7.81,2.97
2020-03-28,14.06,5.97,7.53
2020-03-29,11.64,6.23,3.66
2020-03-30,5.03,3.03,8.25
2020-03-31,1.23,5.52,7.93
2020-04-01,11.17,11.19,3.43
2020-04-02,7.95,2.65,1.48
2020-04-03,14.47,11.75,8.3
2020-04-04,1.31,10.48,3.96
2020-04-05,8.31,4.03,3.59
2020-04-06,12.04,9.05,0.67
2020-04-07,12.06,2.91,7.4
2020-04-08,10.41,3.6,3.1
2020-04-09,6.52,6.88,4.64
2020-04-10,1.94,6.0,9.05
2020-04-11,5.22,10.15,1.69
2020-04-12,10.12,11.39,0.86
2020-04-13,11.79,11.43,5.82
2020-04-14,12.44,3.47,7.15
2020-04-15,11.84,8.86,5.52
2020-04-16,5.53,7.71,3.73
2020-04-17,10.72,5.7,3.93
2020-04-18,14.57,11.95,1.92
2020-04-19,2.91,6.56,3.46
2020-04-20,11.24,8.65,7.71
2020-04-21,6.74,7.03,5.24
2020-04-22,4.15,3.03,8.96
2020-04-23,5.48,3.41,2.1
2020-04-24,3.33,9.5,4.7
2020-04-25,12.41,10.02,7.17
2020-04-26,6.42,5.64,3.09
2020-04-27,14.13,2.67,3.04
2020-04-28,14.53,11.57,1.5
2020-04-29,14.52,6.97,8.98
2020-04-30,3.18,3.34,2.14
2020-05-01,5.85,3.98,9.72
2020-05-02,5.35,2.45,4.76
2020-05-03,13.92,9.1,9.83
2020-05-04,2.21,9.04,0.88
2020-05-05,9.24,8.03,5.89
2020-05-06,7.8,7.46,7.06
2020-05-07,14.67,5.81,5.41
2020-05-08,14.49,11.51,5.92
2020-05-09,6.94,10.01,5.61
2020-05-10,7.18,11.08,1.92
2020-05-11,6.38,5.12,5.55
2020-05-12,12.05,11.78,5.65
2020-05-13,2.4,3.65,3.88
2020-05-14,2.63,2.56,6.27
2020-05-15,10.87,5.2,4.41
2020-05-16,1.23,4.01,7.67
2020-05-17,10.39,7.18,0.86
2020-05-18,2.8,5.5,0.59
2020-05-19,12.01,3.72,5.48
2020-05-20,11.35,10.44,9.9
2020-05-21,3.55,7.08,4.73
2020-05-22,11.6,3.1,0.61
2020-05-23,12.06,2.75,3.51
2020-05-24,13.96,5.83,4.94
2020-05-25,11.14,11.08,9.06
2020-05-26,13.15,7.08,1.65
2020-05-27,9.92,3.39,9.28
2020-05-28,9.76,4.47,9.43
2020-05-29,10.45,2.49,6.59
2020-05-30,6.69,10.32,2.64
2020-05-31,4.2,11.46,5.6
2020-06-01,6.79,2.78,8.26
2020-06-02,9.31,3.73,3.9
2020-06-03,10.66,3.71,9.1
2020-06-04,7.39,10.04,1.33
2020-06-05,5.62,10.39,3.42
2020-06-06,4.46,6.19,9.94
2020-06-07,3.56,11.69,6.05
2020-06-08,7.67,4.59,6.11
2020-06-09,10.89,7.25,2.78
2020-06-10,12.62,11.96,8.65
2020-06-11,5.83,10.27,4.58
2020-06-12,9.56,6.87,8.04
2020-06-13,7.69,3.09,8.2
2020-06-14,14.53,11.04,2.16
2020-06-15,13.35,7.42,5.27
2020-06-16,13.35,5.08,4.15
2020-06-17,9.11,6.51,1.97
2020-06-18,7.12,5.11,1.67
2020-06-19,10.13,7.51,0.94
2020-06-20,3.24,4.73,7.17
2020-06-21,13.36,6.46,7.93
2020-06-22,4.8,6.26,4.98
2020-06-23,12.58,8.16,5.86
2020-06-24,5.18,2.14,2.99
2020-06-25,8.31,7.99,7.29
2020-06-26,11.81,7.93,6.05
2020-06-27,6.51,5.92,8.88
2020-06-28,6.01,4.47,7.59
2020-06-29,13.43,10.39,0.68
2020-06-30,1.96,5.45,8.19
2020-07-01,12.78,5.12,0.76
2020-07-02,13.99,6.63,8.23
2020-07-03,8.88,4.78,9.88
2020-07-04,10.74,10.31,5.07
2020-07-05,13.06,7.65,2.66
2020-07-06,7.1,9.54,0.59
2020-07-07,13.3,9.45,1.93
2020-07-08,6.21,9.88,5.29
2020-07-09,5.29,10.69,8.16
2020-07-10,14.76,11.19,8.78
2020-07-11,1.44,5.84,6.99
2020-07-12,5.47,6.44,1.32
2020-07-13,7.42,2.5,9.92
2020-07-14,5.35,11.26,7.6
2020-07-15,4.95,7.87,4.55
2020-07-16,6.19,9.12,8.23
2020-07-17,6.57,6.36,6.09
2020-07-18,2.0,6.74,6.23
2020-07-19,11.85,7.43,9.73
2020-07-20,3.36,9.95,8.11
2020-07-21,1.57,8.13,2.99
2020-07-22,9.27,10.11,2.16
2020-07-23,10.36,4.17,2.14
2020-07-24,11.64,4.06,4.82
2020-07-25,2.23,4.07,4.19
2020-07-26,3.4,2.05,4.8
2020-07-27,3.55,3.79,1.1
2020-07-28,9.31,3.19,2.42
2020-07-29,13.46,6.54,8.08
2020-07-30,10.89,3.27,7.7
2020-07-31,5.41,6.16,4.24
2020-08-01,12.94,12.0,4.21
2020-08-02,10.38,7.03,8.9
2020-08-03,10.64,11.25,2.23
2020-08-04,14.4,9.02,3.89
2020-08-05,14.31,10.94,7.75
2020-08-06,6.4,8.26,5.96
2020-08-07,9.9,10.1,1.07
2020-08-08,3.83,5.03,0.61
2020-08-09,6.77,5.72,0.68
2020-08-10,4.83,11.6,6.73
2020-08-11,6.14,4.68,6.41
2020-08-12,10.46,6.21,0.92
2020-08-13,3.94,8.51,1.75
2020-08-14,3.52,5.92,7.36
2020-08-15,6.31,2.21,3.44
2020-08-16,2.37,9.92,9.92
2020-08-17,12.39,5.36,3.47
2020-08-18,14.42,4.28,3.69
2020-08-19,12.22,7.06,4.48
2020-08-20,8.44,2.08,8.36
2020-08-21,10.44,10.64,5.79
2020-08-22,12.28,4.61,8.64
2020-08-23,1.96,11.23,4.56
2020-08-24,6.85,8.78,6.28
2020-08-25,3.01,7.49,0.54
2020-08-26,2.27,10.06,5.97
2020-08-27,11.63,11.93,1.26
2020-08-28,13.01,4.51,2.33
2020-08-29,2.17,5.55,9.98
2020-08-30,3.5,6.84,6.55
2020-08-31,4.09,7.39,8.76
2020-09-01,13.0,7.53,1.04
2020-09-02,13.79,7.49,4.15
2020-09-03,11.71,10.28,8.69
2020-09-04,12.15,6.05,4.4
2020-09-05,5.8,2.11,2.91
2020-09-06,6.72,10.76,5.07
2020-09-07,4.93,8.62,4.97
2020-09-08,14.42,3.89,9.91
2020-09-09,11.19,2.3,3.87
2020-09-10,5.78,5.16,9.59
2020-09-11,2.9,3.24,9.16
2020-09-12,3.73,10.97,4.77
2020-09-13,3.86,4.78,9.48
2020-09-14,9.61,9.06,7.42
2020-09-15,13.64,8.58,8.91
2020-09-16,13.16,9.14,8.97
2020-09-17,1.98,7.3,1.31
2020-09-18,10.93,9.3,9.02
2020-09-19,3.35,7.12,5.15
2020-09-20,5.35,5.78,6.55
2020-09-21,8.61,10.58,3.35
2020-09-22,12.77,6.59,6.63
2020-09-23,4.31,7.68,0.76
2020-09-24,13.23,6.65,4.03
2020-09-25,11.29,9.75,6.47
2020-09-26,10.44,7.4,2.37
2020-09-27,2.86,6.71,6.89
2020-09-28,7.64,4.58,8.37
2020-09-29,4.85,11.12,0.85
2020-09-30,9.23,10.63,6.24
2020-10-01,10.43,6.31,6.02
2020-10-02,1.92,8.6,7.93
2020-10-03,10.02,7.08,7.13
2020-10-04,7.97,3.76,4.82
2020-10-05,12.74,5.76,3.87
2020-10-06,12.11,10.53,9.86
2020-10-07,6.78,9.97,5.27
2020-10-08,14.67,3.02,4.38
2020-10-09,9.22,2.75,9.93
2020-10-10,14.49,10.54,2.21
2020-10-11,11.07,10.99,2.27
2020-10-12,6.71,4.94,9.78
2020-10-13,4.27,5.49,6.75
2020-10-14,7.52,5.36,5.44
2020-10-15,14.1,3.27,1.14
2020-10-16,2.82,9.45,3.88
2020-10-17,7.44,5.7,4.62
2020-10-18,5.86,10.36,5.36
2020-10-19,13.14,10.79,4.65
2020-10-20,12.26,11.13,4.66
2020-10-21,8.73,10.18,9.95
2020-10-22,6.81,9.89,9.75
2020-10-23,10.58,6.49,1.32
2020-10-24,14.34,2.27,2.1
2020-10-25,2.42,3.12,9.45
2020-10-26,13.58,7.31,3.53
2020-10-27,5.12,5.6,6.31
2020-10-28,1.06,10.29,8.08
2020-10-29,11.37,7.63,4.97
2020-10-30,12.04,2.99,0.66
2020-10-31,5.27,6.79,8.37
2020-11-01,11.9,10.22,7.68
2020-11-02,12.17,10.63,0.89
2020-11-03,10.45,3.66,9.03
2020-11-04,1.54,3.0,8.64
2020-11-05,10.34,5.87,3.11
2020-11-06,14.05,2.66,1.26
2020-11-07,9.68,9.26,4.33
2020-11-08,6.14,6.48,8.81
2020-11-09,8.89,3.98,5.08
2020-11-10,14.9,3.02,3.17
2020-11-11,7.62,11.27,2.7
2020-11-12,12.78,2.43,3.87
2020-11-13,2.94,2.98,9.94
2020-11-14,1.79,4.34,8.85
2020-11-15,6.46,2.95,5.7
2020-11-16,2.93,8.44,8.18
2020-11-17,5.63,4.18,3.5
2020-11-18,11.02,6.8,6.34
2020-11-19,7.24,10.6,8.79
2020-11-20,5.5,10.25,3.99
2020-11-21,13.48,3.46,8.1
2020-11-22,1.13,2.89,6.34
2020-11-23,12.4,8.64,6.35
2020-11-24,9.7,4.1,0.89
2020-11-25,1.65,9.81,9.04
2020-11-26,1.48,6.34,7.87
2020-11-27,3.41,3.55,0.85
2020-11-28,14.68,11.74,6.3
2020-11-29,2.2,2.56,7.59
2020-11-30,11.34,3.24,8.05
2020-12-01,6.62,10.12,1.34
2020-12-02,4.31,6.53,6.58
2020-12-03,9.05,11.38,2.71
2020-12-04,6.15,3.13,4.79
2020-12-05,5.34,3.57,5.5
2020-12-06,4.35,2.02,0.76
2020-12-07,7.41,4.17,3.35
2020-12-08,3.37,8.57,8.08
2020-12-09,12.93,9.23,8.5
2020-12-10,9.28,6.3,3.64
2020-12-11,1.88,4.57,4.7
2020-12-12,7.4,9.16,8.4
2020-12-13,9.81,3.73,2.41
2020-12-14,13.06,9.67,7.44
2020-12-15,1.33,9.87,4.37
2020-12-16,7.39,6.41,9.88
2020-12-17,10.88,3.94,6.22
2020-12-18,3.75,8.3,1.91
2020-12-19,4.1,10.53,2.13
2020-12-20,7.86,7.3,0.76
2020-12-21,13.38,6.61,7.29
2020-12-22,6.58,11.79,4.71
2020-12-23,7.78,7.37,0.6
2020-12-24,9.9,2.34,1.46
2020-12-25,5.35,7.02,3.25
2020-12-26,13.14,6.45,4.53
2020-12-27,14.47,4.92,9.42
2020-12-28,10.1,5.17,5.64
2020-12-29,9.94,11.31,9.0
2020-12-30,10.43,3.34,2.88
2020-12-31,3.71,9.64,3.66
2021-01-01,11.25,11.02,8.87
2021-01-02,5.86,4.59,5.17
2021-01-03,14.91,2.67,6.11
2021-01-04,11.53,5.07,5.95
2021-01-05,9.17,6.33,6.63
2021-01-06,13.77,11.51,6.1
2021-01-07,14.58,6.3,7.1
2021-01-08,12.45,2.92,1.9
2021-01-09,11.59,3.47,7.25
2021-01-10,1.85,5.53,1.93
2021-01-11,10.88,3.84,3.73
2021-01-12,5.7,2.61,8.4
2021-01-13,14.02,3.75,6.27
2021-01-14,9.56,3.05,9.69
2021-01-15,6.19,4.03,2.9
2021-01-16,5.75,11.96,9.25
2021-01-17,8.77,6.45,6.6
2021-01-18,7.88,8.59,4.01
2021-01-19,6.47,3.65,7.97
2021-01-20,3.92,10.49,9.57
2021-01-21,12.15,4.67,7.91
2021-01-22,7.07,11.82,0.56
2021-01-23,2.38,10.37,0.6
2021-01-24,2.2,11.51,1.7
2021-01-25,4.33,8.68,8.58
2021-01-26,8.73,8.58,7.63
2021-01-27,3.07,10.41,6.58
2021-01-28,4.01,9.15,7.1
2021-01-29,8.02,8.06,6.39
2021-01-30,4.05,5.58,3.8
2021-01-31,13.01,4.23,7.34
2021-02-01,9.26,9.82,9.38
2021-02-02,2.2,5.86,7.62
2021-02-03,2.96,2.61,8.74
2021-02-04,3.73,6.8,2.75
2021-02-05,9.82,8.58,3.82
2021-02-06,2.48,2.23,5.32
2021-02-07,1.61,9.05,4.98
2021-02-08,11.2,4.25,4.93
2021-02-09,7.69,4.22,6.59
2021-02-10,12.88,7.63,8.63
2021-02-11,12.1,5.37,8.93
2021-02-12,4.83,6.51,1.93
2021-02-13,3.69,7.13,1.36
2021-02-14,8.23,11.21,3.46
2021-02-15,2.12,4.05,7.5
2021-02-16,9.86,6.64,8.04
2021-02-17,1.17,9.86,4.14
2021-02-18,12.24,4.05,3.45
2021-02-19,13.47,2.82,1.74
2021-02-20,14.95,2.18,2.76
2021-02-21,5.82,3.04,1.46
2021-02-22,8.87,4.75,3.39
2021-02-23,13.08,6.09,6.92
2021-02-24,7.47,7.94,1.73
2021-02-25,5.61,4.0,3.55
2021-02-26,1.68,4.7,5.52
2021-02-27,6.52,8.99,3.61
2021-02-28,2.1,11.09,4.68
2021-03-01,6.08,3.36,5.22
2021-03-02,5.8,6.73,7.86
2021-03-03,10.06,4.95,8.51
2021-03-04,6.13,7.28,2.33
2021-03-05,6.38,3.19,4.01
2021-03-06,5.01,4.71,5.96
2021-03-07,9.51,9.09,5.24
2021-03-08,6.45,10.19,1.26
2021-03-09,14.28,8.22,3.78
2021-03-10,13.49,11.44,2.66
2021-03-11,4.32,8.53,4.46
2021-03-12,6.66,9.47,3.71
2021-03-13,9.88,5.57,7.11
2021-03-14,1.23,3.7,4.31
2021-03-15,4.18,8.58,2.79
2021-03-16,4.99,11.19,6.39
2021-03-17,6.63,11.82,7.41
2021-03-18,13.45,6.5,1.53
2021-03-19,2.35,7.4,2.89
2021-03-20,1.92,5.11,2.48
2021-03-21,10.3,8.73,2.41
2021-03-22,6.1,9.65,9.07
2021-03-23,3.49,2.41,1.7
2021-03-24,10.83,10.47,8.78
2021-03-25,4.4,7.14,4.24
2021-03-26,8.92,7.8,6.59
2021-03-27,6.72,4.06,4.69
2021-03-28,6.06,2.1,6.19
2021-03-29,11.1,11.52,5.74
2021-03-30,9.59,11.28,4.61
2021-03-31,8.19,9.74,3.11
2021-04-01,2.79,6.74,9.34
2021-04-02,9.2,5.18,9.2
2021-04-03,10.7,3.56,1.18
2021-04-04,12.41,2.81,2.62
2021-04-05,5.19,6.57,5.95
2021-04-06,4.7,9.92,9.81
2021-04-07,11.48,9.26,7.41
2021-04-08,7.54,9.56,8.27
2021-04-09,6.68,3.19,3.49
2021-04-10,3.25,10.63,2.58
2021-04-11,7.08,10.04,2.65
2021-04-12,11.17,2.94,5.09
2021-04-13,7.31,5.57,8.66
2021-04-14,13.22,5.75,2.56
2021-04-15,1.06,9.35,5.92
2021-04-16,3.52,10.6,8.18
2021-04-17,9.6,5.76,5.25
2021-04-18,10.41,3.31,4.46
2021-04-19,4.86,2.83,3.79
2021-04-20,14.19,8.39,6.2
2021-04-21,5.63,6.98,8.27
2021-04-22,6.76,11.02,9.96
2021-04-23,14.67,11.54,8.76
2021-04-24,7.71,10.98,4.8
2021-04-25,9.58,2.76,1.25
2021-04-26,8.56,4.84,1.65
2021-04-27,3.49,4.39,0.78
2021-04-28,14.88,2.69,3.95
2021-04-29,1.83,11.18,5.07
2021-04-30,14.77,10.95,8.3
2021-05-01,7.55,5.91,1.31
2021-05-02,3.65,11.59,2.67
2021-05-03,3.34,7.63,5.35
2021-05-04,10.18,6.34,8.57
2021-05-05,10.95,7.5,1.33
2021-05-06,13.58,6.22,2.81
2021-05-07,4.31,4.92,5.67
2021-05-08,7.06,3.81,3.58
2021-05-09,14.6,6.61,9.93
2021-05-10,6.99,7.31,4.8
2021-05-11,7.43,10.22,9.16
2021-05-12,5.04,6.73,9.44
2021-05-13,13.19,10.29,2.96
2021-05-14,6.12,11.55,3.6
2021-05-15,9.9,9.21,3.58
2021-05-16,3.56,3.2,4.64
2021-05-17,9.62,6.61,1.1
2021-05-18,14.08,10.57,8.17
2021-05-19,11.88,6.92,1.74
2021-05-20,1.95,10.11,8.99
2021-05-21,9.88,9.76,5.98
2021-05-22,8.82,3.6,5.07
2021-05-23,5.74,5.29,6.78
2021-05-24,12.8,9.64,9.36
2021-05-25,12.08,3.59,3.32
2021-05-26,10.08,6.23,3.07
2021-05-27,11.42,3.37,4.01
2021-05-28,3.7,4.36,5.12
2021-05-29,13.89,4.86,1.22
2021-05-30,10.35,7.3,6.96
2021-05-31,7.55,11.12,5.45
2021-06-01,3.7,5.86,5.63
2021-06-02,10.56,10.5,2.87
2021-06-03,2.35,8.95,8.49
2021-06-04,5.48,9.8,4.28
2021-06-05,9.03,9.62,6.7
2021-06-06,10.05,5.02,2.78
2021-06-07,1.24,4.36,8.25
2021-06-08,1.12,11.78,3.35
2021-06-09,2.56,9.38,9.26
2021-06-10,11.76,5.66,4.82
2021-06-11,8.94,7.54,1.88
2021-06-12,9.52,9.76,6.31
2021-06-13,9.45,2.56,5.79
2021-06-14,1.52,2.99,4.5
2021-06-15,3.41,2.25,8.29
2021-06-16,11.19,3.64,4.5
2021-06-17,10.04,3.19,1.79
2021-06-18,7.23,6.63,0.77
2021-06-19,1.29,4.87,8.98
2021-06-20,6.84,2.46,4.93
2021-06-21,4.47,6.49,5.85
2021-06-22,10.76,7.79,1.59
2021-06-23,12.55,5.7,5.15
2021-06-24,8.05,4.6,5.57
2021-06-25,6.65,5.9,4.92
2021-06-26,4.82,7.2,9.56
2021-06-27,2.3,6.36,5.93
2021-06-28,6.2,2.93,9.76
2021-06-29,10.49,6.57,1.96
2021-06-30,10.33,9.2,9.18
2021-07-01,6.78,10.2,5.75
2021-07-02,14.52,6.4,3.31
2021-07-03,14.16,11.94,7.58
2021-07-04,13.26,10.43,5.78
2021-07-05,7.1,4.15,5.97
2021-07-06,11.45,6.57,2.13
2021-07-07,14.01,4.95,6.96
2021-07-08,11.33,7.5,3.29
2021-07-09,5.42,4.24,3.88
2021-07-10,1.95,2.35,9.11
2021-07-11,14.41,11.04,2.21
2021-07-12,14.89,7.2,8.92
2021-07-13,10.71,11.15,5.25
2021-07-14,5.41,3.18,2.2
2021-07-15,13.11,3.51,8.21
2021-07-16,14.35,4.26,6.7
2021-07-17,8.09,6.57,3.79
2021-07-18,5.36,10.8,3.36
2021-07-19,6.69,8.5,4.5
2021-07-20,2.03,2.55,1.79
2021-07-21,8.92,6.07,8.19
2021-07-22,6.3,9.23,3.15
2021-07-23,13.38,5.22,8.36
2021-07-24,4.86,6.93,7.45
2021-07-25,1.12,9.11,9.45
2021-07-26,11.32,11.65,1.44
2021-07-27,1.1,5.33,3.82
2021-07-28,8.64,9.44,6.43
2021-07-29,3.54,9.47,8.66
2021-07-30,9.55,7.43,1.98
2021-07-31,3.77,10.13,8.68
2021-08-01,8.03,7.36,1.14
2021-08-02,5.69,8.25,5.01
2021-08-03,3.56,10.37,1.3
2021-08-04,9.49,6.76,1.92
2021-08-05,2.15,6.78,7.86
2021-08-06,14.18,7.91,0.68
2021-08-07,11.89,10.04,5.78
2021-08-08,13.82,3.27,1.43
2021-08-09,1.59,9.71,8.21
2021-08-10,1.03,4.95,8.18
2021-08-11,6.01,2.71,7.18
2021-08-12,9.63,9.92,7.68
2021-08-13,4.42,3.45,6.11
2021-08-14,8.69,4.13,5.11
2021-08-15,9.48,9.06,4.4
2021-08-16,3.12,7.65,6.78
2021-08-17,11.76,11.2,4.14
2021-08-18,14.11,11.54,0.53
2021-08-19,9.96,5.14,1.46
2021-08-20,14.27,5.24,6.69
2021-08-21,4.45,4.1,3.97
2021-08-22,1.51,7.18,9.9
2021-08-23,4.46,5.78,3.86
2021-08-24,10.07,2.15,1.53
2021-08-25,9.37,5.95,3.62
2021-08-26,4.74,2.62,7.03
2021-08-27,6.71,9.99,5.52
2021-08-28,6.15,11.29,6.3
2021-08-29,14.31,4.96,1.56
2021-08-30,5.4,8.51,8.36
2021-08-31,3.7,2.89,9.07
2021-09-01,8.92,5.64,1.88
2021-09-02,2.75,7.76,6.45
2021-09-03,8.11,3.04,2.68
2021-09-04,10.62,5.77,2.23
2021-09-05,14.21,11.55,2.44
2021-09-06,13.49,3.66,5.45
2021-09-07,12.78,8.2,8.92
2021-09-08,6.51,10.33,8.28
2021-09-09,13.52,9.71,1.86
2021-09-10,11.03,9.71,5.34
2021-09-11,7.18,2.59,1.93
2021-09-12,8.9,11.74,4.66
2021-09-13,7.11,9.27,5.84
2021-09-14,3.76,11.54,8.21
2021-09-15,7.32,11.79,8.68
2021-09-16,12.3,5.57,0.76
2021-09-17,4.73,7.43,7.05
2021-09-18,9.96,9.29,4.4
2021-09-19,8.75,10.49,5.2
2021-09-20,13.88,11.71,2.61
2021-09-21,11.45,11.74,0.83
2021-09-22,6.06,5.28,8.44
2021-09-23,8.86,8.8,2.69
2021-09-24,13.76,3.47,8.86
2021-09-25,4.17,10.11,1.16
2021-09-26,7.64,3.6,4.38
2021-09-27,4.1,10.91,7.55
2021-09-28,6.86,11.79,2.94
2021-09-29,1.82,2.86,9.69
2021-09-30,13.26,7.12,6.56
2021-10-01,14.7,4.65,2.57
2021-10-02,8.95,6.7,8.04
2021-10-03,8.76,4.94,9.85
2021-10-04,14.38,2.66,2.87
2021-10-05,6.51,5.94,8.31
2021-10-06,9.7,4.05,9.78
2021-10-07,12.72,7.49,2.6
2021-10-08,8.08,8.81,2.73
2021-10-09,4.1,6.05,7.31
2021-10-10,12.38,4.04,9.53
2021-10-11,4.8,3.92,7.11
2021-10-12,12.81,2.02,5.29
2021-10-13,14.22,9.02,1.5
2021-10-14,8.64,4.53,9.28
2021-10-15,1.69,11.71,1.16
2021-10-16,14.38,9.47,2.51
2021-10-17,12.64,4.95,4.78
2021-10-18,2.64,3.59,5.26
2021-10-19,9.81,8.24,1.02
2021-10-20,5.42,10.65,1.28
2021-10-21,5.62,7.84,1.69
2021-10-22,9.12,2.11,0.88
2021-10-23,10.97,9.86,9.79
2021-10-24,1.16,11.64,2.76
2021-10-25,3.14,2.47,8.86
2021-10-26,13.64,10.09,7.95
2021-10-27,7.93,9.19,7.21
2021-10-28,7.89,5.97,6.75
2021-10-29,12.76,8.34,5.24
2021-10-30,2.81,3.59,5.86
2021-10-31,10.99,9.2,8.96
2021-11-01,8.09,7.81,7.89
2021-11-02,11.38,2.87,2.69
2021-11-03,10.51,10.68,1.49
2021-11-04,10.33,3.28,3.29
2021-11-05,12.98,6.38,1.76
2021-11-06,8.71,3.31,9.57
2021-11-07,6.71,8.46,4.14
2021-11-08,3.78,9.38,2.15
2021-11-09,5.82,11.47,6.41
2021-11-10,13.18,4.53,4.28
2021-11-11,5.72,5.66,2.57
2021-11-12,14.8,5.87,1.05
2021-11-13,9.51,2.97,1.38
2021-11-14,12.41,10.08,5.85
2021-11-15,7.91,2.83,7.63
2021-11-16,10.16,5.39,9.29
2021-11-17,14.85,3.9,6.06
2021-11-18,8.0,8.64,6.7
2021-11-19,4.69,11.06,2.8
2021-11-20,10.1,9.46,3.11
2021-11-21,13.87,9.75,4.47
2021-11-22,1.24,2.79,8.75
2021-11-23,14.9,9.39,4.64
2021-11-24,8.62,2.63,2.78
2021-11-25,12.19,6.84,9.24
2021-11-26,2.66,8.92,4.41
2021-11-27,5.08,4.55,1.26
2021-11-28,14.68,8.83,5.68
2021-11-29,5.03,10.81,6.45
2021-11-30,6.77,10.78,9.58
2021-12-01,4.93,3.92,8.16
2021-12-02,7.56,4.75,1.46
2021-12-03,3.23,8.66,5.36
2021-12-04,8.12,10.41,4.62
2021-12-05,5.18,6.55,4.24
2021-12-06,12.41,11.22,1.83
2021-12-07,6.46,7.75,4.07
2021-12-08,12.1,4.62,4.97
2021-12-09,9.98,2.2,2.58
2021-12-10,13.81,10.07,5.97
2021-12-11,12.35,2.93,2.6
2021-12-12,13.62,2.78,1.65
2021-12-13,8.36,9.77,9.85
2021-12-14,13.79,2.32,7.04
2021-12-15,3.17,10.43,6.15
2021-12-16,2.18,7.99,3.61
2021-12-17,8.36,8.37,2.48
2021-12-18,12.56,11.38,1.75
2021-12-19,3.97,10.67,1.09
2021-12-20,14.56,2.76,7.15
2021-12-21,3.59,10.53,3.12
2021-12-22,10.92,8.67,3.52
2021-12-23,13.81,5.17,2.03
2021-12-24,14.52,10.53,1.61
2021-12-25,10.26,2.23,5.2
2021-12-26,9.04,10.38,7.41
2021-12-27,2.27,8.2,9.91
2021-12-28,1.28,4.61,3.73
2021-12-29,14.8,2.06,6.81
2021-12-30,4.84,7.21,1.6
2021-12-31,2.01,6.22,5.78
2022-01-01,8.54,10.63,5.42
2022-01-02,5.38,9.88,0.8
2022-01-03,6.01,7.9,5.09
2022-01-04,5.95,3.51,5.21
2022-01-05,4.48,9.26,4.03
2022-01-06,14.55,7.94,5.95
2022-01-07,4.71,2.23,0.93
2022-01-08,8.8,9.62,8.52
